Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
Adani Ports & Special Economic Zone Ltd,ADANIPORTS24AUG1500CE,Buy,27.0,22.0,35.0,1-2 Days,0.2785714285714286,2024-08-22 06:46:26+00:00,Upward
FINNIFTY,FINNIFTY24AUG23100CE,Buy,230.0,210.0,290.0,INTRADAY,0.0,2024-08-22 06:14:20+00:00,Upward
United Spirits Ltd,UNITDSPR24AUG1420CE,Buy,16.0,11.0,26.0,1-2 Days,0.0,2024-08-21 08:22:52+00:00,Upward
NIFTY,NIFTY2482224600CE,Buy,151.0,120.0,230.0,INTRADAY,0.0,2024-08-21 06:51:49+00:00,Upward
Narayana Hrudayalaya Ltd,NH,Buy,1216.0,1160.0,1315.0,5-10 Days,0.0,2024-08-21 05:32:21+00:00,Upward
Angel One Ltd,ANGELONE,Buy,2769.0,2215.0,,1 Year,-0.2851851851851852,2024-08-21 04:37:50+00:00,Downward
Sheela Foam Ltd,SFL,Buy,933.0,,,1 Year,0.06666666666666665,2024-08-20 06:46:30+00:00,Upward
Tata Technologies Ltd,TATATECH,Buy,1020.0,980.0,1100.0,5-10 Days,0.0,2024-08-20 06:44:35+00:00,Upward
Larsen & Toubro Ltd,LT24AUG3550CE,Buy,59.0,47.0,83.0,1-2 Days,0.0,2024-08-20 04:31:07+00:00,Upward
NIFTY,NIFTY2482224500CE,Buy,162.0,120.0,250.0,INTRADAY,0.0,2024-08-19 06:07:09+00:00,Upward
BSE Ltd,BSE,Buy,2700.0,2575.0,2880.0,5-10 Days,0.0,2024-08-19 04:11:19+00:00,Upward
Torrent Power Ltd,TORNTPOWER,Buy,1700.0,1635.0,1825.0,5-10 Days,0.0,2024-08-19 04:05:59+00:00,Upward
Jubilant Pharmova Limited,JUBLPHARMA,Buy,853.0,682.0,,1 Year,-0.23174603174603176,2024-08-16 05:16:39+00:00,Downward
Maruti Suzuki India Ltd,MARUTI24AUG12100PE,Buy,150.0,115.0,235.0,1-2 Days,0.0,2024-08-16 04:58:43+00:00,Upward
Indraprastha Gas Ltd,IGL24AUG540PE,Buy,12.0,9.0,17.0,1-2 Days,0.0,2024-08-14 05:35:50+00:00,Upward
Mankind Pharma Ltd,MANKIND,Buy,2200.0,2110.0,2370.0,5-10 Days,0.0,2024-08-14 04:43:05+00:00,Upward
Coforge Ltd,COFORGE24AUG5900CE,Buy,180.0,155.0,225.0,1-2 Days,0.0,2024-08-13 05:24:44+00:00,Upward
Saregama India Limited,SAREGAMA,Buy,497.0,445.0,,3 Months,-0.0853968253968254,2024-08-13 05:22:55+00:00,Downward
Natco Pharma Ltd,NATCOPHARM,Buy,1501.0,1243.0,,6 Months,0.06000000000000001,2024-08-13 05:04:54+00:00,Upward
Voltas,VOLTAS,Buy,1593.0,1274.0,,1 Year,-0.2851851851851852,2024-08-13 04:46:32+00:00,Downward
FINNIFTY,FINNIFTY2481323000CE,Buy,25.0,2.0,70.0,INTRADAY,0.0,2024-08-13 04:22:17+00:00,Upward
Orchid Pharma Ltd,ORCHPHARMA,Buy,1456.0,1390.0,1620.0,5-10 Days,0.0,2024-08-09 04:53:22+00:00,Upward
BANKNIFTY,BANKNIFTY14AUG2450000CE,Buy,545.0,500.0,650.0,INTRADAY,0.0,2024-08-08 09:11:36+00:00,Upward
BANKNIFTY,BANKNIFTY14AUG2450000CE,Buy,510.0,430.0,700.0,INTRADAY,0.0,2024-08-08 05:43:36+00:00,Upward
