Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Stock Movement
BANKNIFTY,BANKNIFTY24JUL50600CE,Buy,530.0,430.0,700.0,INTRADAY,0.0,Upward
Aurobindo Pharma Ltd,AUROPHARMA24AUG1360PE,Buy,44.0,37.0,55.0,1-2 Days,0.0,Upward
BANKNIFTY,51300CE,Buy,30.0,1.0,90.0,INTRADAY,0.0,Upward
NIFTY,24500PE,Buy,145.0,100.0,230.0,INTRADAY,0.0,Upward
FINNIFTY,23300PE,Buy,215.0,190.0,270.0,INTRADAY,0.0,Upward
Ajanta Pharma Ltd,AJANTPHARM,Buy,2365.0,2250.0,2560.0,5-10 Days,0.0,Upward
Tata Motors-DVR,TATAMTRDVR,Buy,693.0,660.0,763.0,5-10 Days,0.0,Upward
NIFTY,24600PE,Buy,295.0,245.0,380.0,INTRADAY,0.0,Upward
BANKNIFTY,BANKNIFTY24JUL2452600CE,Buy,375.0,300.0,490.0,INTRADAY,0.0,Upward
BUY BANKNIFTY 24 JUL 52400 PUT 605 SL 500 TGT 750,BUY BANKNIFTY 24 JUL 52400 PUT 605 SL 500 TGT 750,Buy,605.0,500.0,750.0,INTRADAY,0.0,Upward
Alembic Pharmaceuticals Limited,APLLTD,Buy,1125.0,900.0,,1 Year,-0.23174603174603176,Downward
BUY NIFTY 25 JUL 24600 CALL 171 SL 120 TGT 250,BUY NIFTY 25 JUL 24600 CALL 171 SL 120 TGT 250,Buy,170.0,120.0,250.0,INTRADAY,0.0,Upward
Talbros Automotive Components Ltd,TALBROAUTO,Buy,362.0,345.0,395.0,5-10 Days,0.0,Upward
Himadri Speciality Chemical Ltd,HSCL,Buy,431.0,380.0,,6 Months,0.06000000000000001,Upward
Refex Industries Ltd,REFEX,Buy,232.0,220.0,258.0,5-10 Days,0.0,Upward
Agro Tech Foods Ltd,ATFL,Buy,870.0,815.0,960.0,5-10 Days,0.0,Upward
Adani Ports & Special Economic Zone Ltd,ADANIPORTS24JUL1500CE,Buy,36.0,30.0,46.0,1-2 Days,0.2785714285714286,Upward
Jyothy Labs Ltd,JYOTHYLAB,Buy,498.0,475.0,545.0,5-10 Days,0.0,Upward
Sonata Software Ltd,SONATSOFTW,Buy,699.0,559.0,,1 Year,-0.2851851851851852,Downward
VARDHMAN TEXTILES LIMITED,VTL,Buy,562.0,450.0,,1 Year,-0.23174603174603176,Downward
Britannia Industries Ltd,BRITANNIA24JUL5700PE,Buy,67.0,48.0,93.0,1-2 Days,0.0,Upward
JUBILANT INGREVIA LIMITED,JUBLINGREA,Buy,602.0,481.0,,1 Year,-0.23174603174603176,Downward
PTC India Ltd,PTC,Buy,232.0,218.0,249.0,5-10 Days,0.0,Upward
